SY,Date_surveyed,Site,Plot,Tree_num,Tree_Height_m,Tree_Height_method,Tag_num,Species,Notes
2022,10/12/2021,Mandahl Bay,C,5,2.7,mean laser,,,
2022,10/14/2021,Compass Point,A,1,7.2,mean laser,,,
2022,10/14/2021,Compass Point,A,2,12.0,mean laser,,,
2022,10/14/2021,Compass Point,A,3,8.0,mean laser,,,
2022,10/14/2021,Compass Point,A,4,4.0,tree pole,,,
2022,10/14/2021,Compass Point,A,5,2.7,tree pole,,,
2022,10/14/2021,Compass Point,B,1,4.6,tree pole,,,
2022,10/14/2021,Compass Point,B,2,4.6,tree pole,,,
2022,10/14/2021,Compass Point,B,3,4.3,tree pole,,,
2022,10/14/2021,Compass Point,B,4,10.7,mean laser,,,
2022,10/14/2021,Compass Point,B,5,4.1,mean laser,,,
2022,10/14/2021,Compass Point,C,1,1.1,mean laser,,,
2022,10/14/2021,Compass Point,C,2,3.3,mean laser,,,
2022,10/14/2021,Compass Point,C,3,2.6,mean laser,,,
2022,10/14/2021,Compass Point,C,4,2.7,mean laser,,,
2022,10/14/2021,Compass Point,C,5,4.0,mean laser,,,
2022,10/15/2021,STEER Fringe,A,1,2.7,tree pole,,,
2022,10/15/2021,STEER Fringe,A,2,2.4,tree pole,,,
2022,10/15/2021,STEER Fringe,A,3,1.7,tree pole,,,
2022,10/15/2021,STEER Fringe,A,4,2.1,tree pole,,,
2022,10/15/2021,STEER Fringe,A,5,2.4,tree pole,,,
2022,10/15/2021,STEER Fringe,B,1,4.3,tree pole,,,
2022,10/15/2021,STEER Fringe,B,2,4.3,tree pole,,,
2022,10/15/2021,STEER Fringe,B,3,2.6,tree pole,,,
2022,10/15/2021,STEER Fringe,B,4,3.7,tree pole,,,
2022,10/15/2021,STEER Fringe,B,5,3.0,tree pole,,,
2022,10/19/2021,STEER Basin,A,1,4.5,mean laser,,RHMA,Dead
2022,10/19/2021,STEER Basin,A,2,1.6,mean laser,,RHMA,Alive
2022,10/19/2021,STEER Basin,A,3,4.2,mean laser,,RHMA,Dead
2022,10/19/2021,STEER Basin,A,4,1.4,mean laser,,RHMA,Dead
2022,10/19/2021,STEER Basin,A,5,2.0,mean laser,,RHMA,Alive
2022,10/19/2021,STEER Fringe,C,1,1.9,mean laser,,RHMA,
2022,10/19/2021,STEER Fringe,C,2,10.2,mean laser,,RHMA,
2022,10/19/2021,STEER Fringe,C,3,4.4,mean laser,,LARA,
2022,10/19/2021,STEER Fringe,C,4,5.1,mean laser,,LARA,
2022,10/19/2021,STEER Fringe,C,5,1.7,mean laser,,RHMA,
2022,10/22/2021,Magens Bay,A,1,2.7,tree pole,152,RHMA,
2022,10/22/2021,Magens Bay,A,2,2.8,tree pole,,,
2022,10/22/2021,Magens Bay,A,3,4.0,tree pole,107,RHMA,
2022,10/22/2021,Magens Bay,A,4,3.4,tree pole,,,
2022,10/22/2021,Magens Bay,A,5,2.7,tree pole,,,
2022,10/22/2021,Magens Bay,B,1,4.9,tree pole,376,RHMA,
2022,10/22/2021,Magens Bay,B,2,4.6,tree pole,377,RHMA,
2022,10/22/2021,Magens Bay,B,3,3.3,tree pole,368,RHMA,
2022,10/22/2021,Magens Bay,B,4,3.8,tree pole,356,RHMA,
2022,10/22/2021,Magens Bay,B,5,4.6,tree pole,359,RHMA,
2022,10/22/2021,Magens Bay,B,6,4.2,tree pole,351,RHMA,
2022,10/22/2021,Magens Bay,B,7,3.9,tree pole,1130,RHMA,
2022,10/22/2021,Magens Bay,B,8,3.8,tree pole,1131,RHMA,
2022,10/22/2021,Magens Bay,B,9,4.1,tree pole,1120,RHMA,
2022,10/22/2021,Magens Bay,B,10,4.3,tree pole,1124,RHMA,
2022,10/25/2021,Princess Bay,B,1,2.7,tree pole,307,RHMA,
2022,10/25/2021,Princess Bay,B,2,7.3,tree pole,326,RHMA,
2022,10/25/2021,Princess Bay,B,3,3.0,tree pole,428,RHMA,
2022,10/25/2021,Princess Bay,B,4,3.8,tree pole,310,RHMA,
2022,10/25/2021,Princess Bay,B,5,2.9,tree pole,328,RHMA,
2022,10/26/2021,Lameshur Bay,A,1,4.6,tree pole,435,AVGE,
2022,10/26/2021,Lameshur Bay,A,2,4.3,tree pole,434,AVGE,
2022,10/26/2021,Lameshur Bay,A,3,3.8,tree pole,432,AVGE,
2022,10/26/2021,Lameshur Bay,A,4,4.9,tree pole,431,AVGE,
2022,10/26/2021,Lameshur Bay,A,5,5.2,tree pole,528,AVGE,
2022,10/26/2021,Lameshur Bay,B,1,4.4,tree pole,438,AVGE,
2022,10/26/2021,Lameshur Bay,B,2,5.0,tree pole,439,AVGE,
2022,10/26/2021,Lameshur Bay,B,3,5.6,tree pole,440,AVGE,
2022,10/26/2021,Lameshur Bay,B,4,4.3,tree pole,506,AVGE,
2022,10/26/2021,Lameshur Bay,B,5,5.2,tree pole,441,AVGE,
2022,10/26/2021,Lameshur Bay,C,1,4.0,tree pole,582,AVGE,
2022,10/26/2021,Lameshur Bay,C,2,3.4,tree pole,548,AVGE,
2022,10/26/2021,Lameshur Bay,C,3,3.0,tree pole,558,AVGE,
2022,10/26/2021,Lameshur Bay,C,4,4.4,tree pole,597,AVGE,
2022,10/26/2021,Lameshur Bay,C,5,3.0,tree pole,594,AVGE,
2022,10/28/2021,Francis Bay,A,1,4.2,mean laser,562,LARA,
2022,10/28/2021,Francis Bay,A,2,4.1,mean laser,405,LARA,
2022,10/28/2021,Francis Bay,A,3,3.4,mean laser,477,LARA,
2022,10/28/2021,Francis Bay,A,4,2.8,mean laser,402,LARA,
2022,10/28/2021,Francis Bay,A,5,3.7,mean laser,475,LARA,
2022,10/28/2021,Francis Bay,B,1,3.9,mean laser,397,LARA,
2022,10/28/2021,Francis Bay,B,2,4.5,mean laser,,,
2022,10/28/2021,Francis Bay,B,3,2.0,mean laser,332,LARA,
2022,10/28/2021,Francis Bay,B,4,2.5,mean laser,,,
2022,10/28/2021,Francis Bay,B,5,2.7,mean laser,337,LARA,
2022,10/29/2021,Francis Bay,C,1,3.7,mean laser,412,LARA,
2022,10/29/2021,Francis Bay,C,2,2.3,mean laser,573,LARA,
2022,10/29/2021,Francis Bay,C,3,1.9,mean laser,570,LARA,
2022,10/29/2021,Francis Bay,C,4,3.2,mean laser,579,LARA,
2022,10/29/2021,Francis Bay,C,5,3.7,mean laser,415,LARA,
2022,10/29/2021,Princess Bay,A,1,6.9,mean laser,608,RHMA,
2022,10/29/2021,Princess Bay,A,2,11.3,mean laser,612,RHMA,
2022,10/29/2021,Princess Bay,A,3,6.2,mean laser,709,RHMA,
2022,10/29/2021,Princess Bay,A,4,8.2,mean laser,611,RHMA,
2022,10/29/2021,Princess Bay,A,5,4.0,mean laser,800,RHMA,
2022,10/29/2021,Princess Bay,C,1,2.7,tree pole,626,RHMA,
2022,10/29/2021,Princess Bay,C,2,2.4,tree pole,619,RHMA,
2022,10/29/2021,Princess Bay,C,3,4.6,tree pole,628,LARA,
2022,10/29/2021,Princess Bay,C,4,4.7,tree pole,623,RHMA,
2022,10/29/2021,Princess Bay,C,5,6.1,tree pole,633,RHMA,
2022,10/29/2021,Princess Bay,C,6,1.6,tree pole,616,RHMA,
2022,11/15/2021,Great Pond,A,1,3.4,mean laser,696,RHMA,
2022,11/15/2021,Great Pond,A,2,2.8,mean laser,782,RHMA,
2022,11/15/2021,Great Pond,A,3,3.1,mean laser,914,RHMA,
2022,11/15/2021,Great Pond,A,4,2.0,mean laser,776,RHMA,
2022,11/15/2021,Great Pond,A,5,3.5,mean laser,694,RHMA,
2022,11/15/2021,Great Pond,B,1,2.4,tree pole,746,AVGE,
2022,11/15/2021,Great Pond,B,2,1.9,tree pole,989,AVGE,
2022,11/15/2021,Great Pond,B,3,2.3,tree pole,747,AVGE,
2022,11/15/2021,Great Pond,B,4,2.0,tree pole,605,AVGE,
2022,11/15/2021,Great Pond,B,5,2.0,tree pole,744,AVGE,
2022,11/15/2021,Great Pond,C,1,2.3,tree pole,917,AVGE,
2022,11/15/2021,Great Pond,C,2,1.2,tree pole,,,
2022,11/15/2021,Great Pond,C,3,1.7,tree pole,691,RHMA,
2022,11/15/2021,Great Pond,C,4,1.3,tree pole,,,
2022,11/15/2021,Great Pond,C,5,2.0,tree pole,916,RHMA,
2022,11/16/2021,Southgate,A,1,2.8,mean laser,919,AVGE,
2022,11/16/2021,Southgate,A,2,2.8,mean laser,921,AVGE,
2022,11/16/2021,Southgate,A,3,3.7,mean laser,692,AVGE,
2022,11/16/2021,Southgate,A,4,3.3,mean laser,923,AVGE,
2022,11/16/2021,Southgate,A,5,4.8,mean laser,928,AVGE,
2022,11/16/2021,Southgate,B,1,4.0,tree pole,951,LARA,
2022,11/16/2021,Southgate,B,2,3.6,tree pole,961,LARA,
2022,11/16/2021,Southgate,B,3,4.0,tree pole,948,LARA,
2022,11/16/2021,Southgate,B,4,4.3,tree pole,968,LARA,
2022,11/16/2021,Southgate,B,5,3.5,tree pole,979,AVGE,
2022,11/16/2021,Southgate,C,1,4.2,mean laser,992,LARA,
2022,11/16/2021,Southgate,C,2,6.7,mean laser,765,LARA,
2022,11/16/2021,Southgate,C,3,9.9,mean laser,757,LARA,
2022,11/16/2021,Southgate,C,4,3.6,mean laser,763,LARA,
2022,11/16/2021,Southgate,C,5,9.1,mean laser,806,LARA,
2022,11/17/2021,Krause Lagoon,A,1,4.1,tree pole,,,
2022,11/17/2021,Krause Lagoon,A,2,4.0,tree pole,,,
2022,11/17/2021,Krause Lagoon,A,3,4.1,tree pole,,,
2022,11/17/2021,Krause Lagoon,A,4,3.4,tree pole,,,
2022,11/17/2021,Krause Lagoon,A,5,3.3,tree pole,,,
2022,11/17/2021,Krause Lagoon,B,1,4.1,tree pole,,,
2022,11/17/2021,Krause Lagoon,B,2,4.0,tree pole,,,
2022,11/17/2021,Krause Lagoon,B,3,3.8,tree pole,,,
2022,11/17/2021,Krause Lagoon,B,4,4.9,tree pole,,,
2022,11/17/2021,Krause Lagoon,B,5,3.9,tree pole,,,
2022,11/17/2021,Krause Lagoon,C,1,4.4,mean laser,,,
2022,11/17/2021,Krause Lagoon,C,2,6.7,mean laser,,,
2022,11/17/2021,Krause Lagoon,C,3,3.0,mean laser,,,
2022,11/17/2021,Krause Lagoon,C,4,1.4,mean laser,,,
2022,11/17/2021,Krause Lagoon,C,5,3.3,mean laser,,,
2022,11/18/2021,Salt River,A,1,3.6,tree pole,842,LARA,
2022,11/18/2021,Salt River,A,2,3.7,tree pole,824,LARA,
2022,11/18/2021,Salt River,A,3,4.4,tree pole,698,LARA,
2022,11/18/2021,Salt River,A,4,3.6,tree pole,873,LARA,
2022,11/18/2021,Salt River,A,5,3.3,tree pole,844,LARA,
2022,11/18/2021,Salt River,B,1,4.2,tree pole,,,
2022,11/18/2021,Salt River,B,2,4.3,tree pole,,,
2022,11/18/2021,Salt River,B,3,3.9,tree pole,,,
2022,11/18/2021,Salt River,B,4,4.6,tree pole,,,
2022,11/18/2021,Salt River,B,5,4.0,tree pole,,,
2022,11/18/2021,Salt River,C,1,4.0,tree pole,,,
2022,11/18/2021,Salt River,C,2,3.9,tree pole,,,
2022,11/18/2021,Salt River,C,3,4.6,tree pole,,,
2022,11/18/2021,Salt River,C,4,4.5,tree pole,,,
2022,11/18/2021,Salt River,C,5,4.5,tree pole,,,
2022,11/30/2021,Magens Bay,C,1,3.4,tree pole,1001,RHMA,
2022,11/30/2021,Magens Bay,C,2,3.4,tree pole,1002,RHMA,
2022,11/30/2021,Magens Bay,C,3,3.9,tree pole,1003,RHMA,
2022,11/30/2021,Magens Bay,C,4,2.9,tree pole,1005,RHMA,
2022,11/30/2021,Magens Bay,C,5,3.6,tree pole,1101,RHMA,
2022,12/2/2021,Turner Bay,A,1,6.1,tree pole,1132,LARA,
2022,12/2/2021,Turner Bay,A,2,5.8,tree pole,1189,LARA,
2022,12/2/2021,Turner Bay,A,3,5.2,tree pole,1141,LARA,
2022,12/2/2021,Turner Bay,A,4,4.6,tree pole,1049,LARA,
2022,12/2/2021,Turner Bay,A,5,6.7,tree pole,1051,LARA,
2022,12/3/2021,Reef Bay,A,1,4.9,tree pole,1285,LARA,
2022,12/3/2021,Reef Bay,A,2,4.9,tree pole,1297,LARA,
2022,12/3/2021,Reef Bay,A,3,2.4,tree pole,1301,LARA,
2022,12/3/2021,Reef Bay,A,4,5.2,tree pole,1302,LARA,
2022,12/3/2021,Reef Bay,A,5,5.2,tree pole,1376,LARA,
2022,12/3/2021,Reef Bay,B,1,4.6,tree pole,1901,LARA,
2022,12/3/2021,Reef Bay,B,2,4.1,tree pole,1393,LARA,
2022,12/3/2021,Reef Bay,B,3,2.6,tree pole,1389,AVGE,
2022,12/3/2021,Reef Bay,B,4,5.5,tree pole,,,
2022,12/3/2021,Reef Bay,B,5,5.8,tree pole,1541,LARA,
2022,12/8/2021,Reef Bay,C,1,1.9,tree pole,,,Too small to tag
2022,12/8/2021,Reef Bay,C,2,2.0,tree pole,,,Too small to tag
2022,12/8/2021,Reef Bay,C,3,1.8,tree pole,,,Too small to tag
2022,12/8/2021,Reef Bay,C,4,2.7,tree pole,1580,AVGE,
2022,12/8/2021,Reef Bay,C,5,3.0,tree pole,1584,AVGE,
2022,12/8/2021,Turner Bay,B,1,4.4,mean laser,1736,RHMA,
2022,12/8/2021,Turner Bay,B,2,3.4,mean laser,1654,RHMA,
2022,12/8/2021,Turner Bay,B,3,4.4,mean laser,1697,RHMA,
2022,12/8/2021,Turner Bay,B,4,5.3,mean laser,1993,RHMA,
2022,12/8/2021,Turner Bay,B,5,3.6,mean laser,1988,RHMA,
2022,12/10/2021,Turner Bay,C,1,4.9,mean laser,1802,RHMA,
2022,12/10/2021,Turner Bay,C,2,6.0,mean laser,1794,RHMA,
2022,12/10/2021,Turner Bay,C,3,5.0,mean laser,1798,RHMA,
2022,12/10/2021,Turner Bay,C,4,8.6,mean laser,1784,RHMA,
2022,12/10/2021,Turner Bay,C,5,5.6,mean laser,1865,RHMA,
2022,2/22/2022,STEER Basin,B,1,2.8,tree pole,2008,UNK,Dead
2022,2/22/2022,STEER Basin,B,2,4.3,tree pole,1840,UNK,Dead
2022,2/22/2022,STEER Basin,B,3,1.8,tree pole,,RHMA,Dead
2022,2/22/2022,STEER Basin,B,4,2.2,tree pole,,AVGE,Dead
2022,2/22/2022,STEER Basin,B,5,3.3,tree pole,2011,UNK,Dead
2022,2/22/2022,STEER Basin,C,1,3.3,tree pole,1809,AVGE,Alive
2022,2/22/2022,STEER Basin,C,2,3.8,tree pole,2098,AVGE,Alive
2022,2/22/2022,STEER Basin,C,3,3.9,tree pole,1812,RHMA,Dead
2022,2/22/2022,STEER Basin,C,4,3.8,tree pole,1820,AVGE,Alive
2022,2/22/2022,STEER Basin,C,5,3.9,tree pole,2092,AVGE,Alive
2022,2/25/2022,Water Creek,A,1,4.9,tree pole,2104,LARA,Alive
2022,2/25/2022,Water Creek,A,2,4.3,tree pole,2112,COER,Alive
2022,2/25/2022,Water Creek,A,3,4.7,tree pole,2065,LARA,Alive
2022,2/25/2022,Water Creek,A,4,4.4,tree pole,2063,LARA,Alive
2022,2/25/2022,Water Creek,A,5,5.3,tree pole,408,RHMA,Alive
2022,2/25/2022,Water Creek,B,1,4.3,tree pole,2051,LARA,Alive
2022,2/25/2022,Water Creek,B,2,4.1,tree pole,2061,LARA,Alive
2022,2/25/2022,Water Creek,B,3,3.2,tree pole,2122,LARA,Dead
2022,2/25/2022,Water Creek,B,4,4.3,tree pole,420,RHMA,Alive
2022,2/25/2022,Water Creek,B,5,4.2,tree pole,2054,AVGE,Alive
2022,2/25/2022,Water Creek,C,1,5.8,tree pole,2142,LARA,Alive
2022,2/25/2022,Water Creek,C,2,6.1,tree pole,2141,RHMA,Alive
2022,2/25/2022,Water Creek,C,3,5.2,tree pole,2143,UNK,couldn't find this tag on radial plot datasheet
2022,2/25/2022,Water Creek,C,4,6.7,tree pole,2144,COER,Alive
2022,2/25/2022,Water Creek,C,5,4.0,tree pole,2145,LARA,Alive
2022,4/5/2022,Mary Creek,A,1,2.5,tree pole,1880,LARA,Dead
2022,4/5/2022,Mary Creek,A,2,1.9,tree pole,2319,UNK,Dead
2022,4/5/2022,Mary Creek,A,3,1.9,tree pole,1886,LARA,Dead
2022,4/5/2022,Mary Creek,A,4,2.0,tree pole,1877,UNK,Dead
2022,4/5/2022,Mary Creek,A,5,2.8,tree pole,1875,RHMA,Dead
2022,4/5/2022,Mary Creek,B,1,4.8,tree pole,2400,RHMA,Dead
2022,4/5/2022,Mary Creek,B,2,3.2,tree pole,1843,UNK,Dead
2022,4/5/2022,Mary Creek,B,3,3.4,tree pole,2399,AVGE,Dead
2022,4/5/2022,Mary Creek,B,4,2.6,tree pole,1844,RHMA,Dead
2022,4/5/2022,Mary Creek,B,5,2.9,tree pole,2398,RHMA,Dead
2022,4/5/2022,Mary Creek,C,1,2.9,tree pole,2322,LARA,Dead
2022,4/5/2022,Mary Creek,C,2,4.7,tree pole,2323,LARA,Dead
2022,4/5/2022,Mary Creek,C,3,4.8,tree pole,2167,LARA,Dead
2022,4/5/2022,Mary Creek,C,4,3.5,tree pole,2183,LARA,Alive
2022,4/5/2022,Mary Creek,C,5,3.2,tree pole,2330,LARA,Alive
2024,6/10/2024,Mandahl Bay,A,1,4.7,unknown,2717,LARA,
2024,6/10/2024,Mandahl Bay,A,2,7.1,unknown,2501,LARA,
2024,6/10/2024,Mandahl Bay,A,3,6.6,unknown,2724,RHMA,
2024,6/10/2024,Mandahl Bay,A,4,6.3,unknown,2729,LARA,
2024,6/10/2024,Mandahl Bay,A,5,4.9,unknown,2731,LARA,
2024,6/10/2024,Mandahl Bay,A,6,4.6,unknown,2738,LARA,
2024,6/10/2024,Mandahl Bay,A,7,6.8,unknown,2643,LARA,
2024,6/10/2024,Mandahl Bay,B,1,6.0,unknown,2590,LARA,
2024,6/10/2024,Mandahl Bay,B,2,7.5,unknown,2576,LARA,
2024,6/10/2024,Mandahl Bay,B,3,5.5,unknown,2554,LARA,
2024,6/10/2024,Mandahl Bay,B,4,6.7,unknown,2683,LARA,
2024,6/10/2024,Mandahl Bay,B,5,5.3,unknown,2579,LARA,
2024,6/10/2024,Mandahl Bay,C,1,5.4,unknown,2905,LARA,
2024,6/10/2024,Mandahl Bay,C,2,7.2,unknown,114,LARA,
2024,6/10/2024,Mandahl Bay,C,3,6.8,unknown,2772,LARA,
2024,6/10/2024,Mandahl Bay,C,4,6.3,unknown,2603,LARA,
2024,6/10/2024,Mandahl Bay,C,5,6.2,unknown,2610,LARA,
2024,6/11/2024,Compass Point,A,1,4.1,unknown,2872,RHMA,
2024,6/11/2024,Compass Point,A,2,8.3,unknown,R0709,RHMA,
2024,6/11/2024,Compass Point,A,3,8.0,unknown,R0795,LARA,
2024,6/11/2024,Compass Point,A,4,5.0,unknown,2874,RHMA,
2024,6/11/2024,Compass Point,A,5,5.0,unknown,2964,RHMA,
2024,6/11/2024,Compass Point,B,1,3.8,unknown,R0885,RHMA,
2024,6/11/2024,Compass Point,B,2,2.8,unknown,R0758,LARA,
2024,6/11/2024,Compass Point,B,3,1.4,unknown,R0702,RHMA,
2024,6/11/2024,Compass Point,B,4,3.3,unknown,R0773,AVGE,
2024,6/11/2024,Compass Point,B,5,4.8,unknown,2880,RHMA,
2024,6/11/2024,Compass Point,C,1,3.6,unknown,R0764,LARA,
2024,6/11/2024,Compass Point,C,2,3.9,unknown,R0712,LARA,
2024,6/11/2024,Compass Point,C,3,2.8,unknown,R0818,LARA,
2024,6/11/2024,Compass Point,C,4,3.3,unknown,R0851,LARA,
2024,6/11/2024,Compass Point,C,5,3.2,unknown,R0883,LARA,
2024,6/12/2024,Perseverance Bay,A,1,4.3,unknown,,,
2024,6/12/2024,Perseverance Bay,A,2,2.4,unknown,,,
2024,6/12/2024,Perseverance Bay,A,3,3.1,unknown,,,
2024,6/12/2024,Perseverance Bay,A,4,2.8,unknown,,,
2024,6/12/2024,Perseverance Bay,A,5,2.9,unknown,,,
2024,6/12/2024,Perseverance Bay,B,1,2.8,unknown,,,
2024,6/12/2024,Perseverance Bay,B,2,2.8,unknown,,,
2024,6/12/2024,Perseverance Bay,B,3,1.6,unknown,,,
2024,6/12/2024,Perseverance Bay,B,4,2.4,unknown,,,
2024,6/12/2024,Perseverance Bay,B,5,2.8,unknown,,,
2024,6/12/2024,Perseverance Bay,C,1,5.2,unknown,,,
2024,6/12/2024,Perseverance Bay,C,2,3.7,unknown,,,
2024,6/12/2024,Perseverance Bay,C,3,4.6,unknown,,,
2024,6/12/2024,Perseverance Bay,C,4,3.1,unknown,,,
2024,6/12/2024,Perseverance Bay,C,5,5.8,unknown,,,
2024,6/13/2024,Vessup Bay,A,1,3.4,unknown,,,
2024,6/13/2024,Vessup Bay,A,2,2.9,unknown,,,
2024,6/13/2024,Vessup Bay,A,3,3.0,unknown,,,
2024,6/13/2024,Vessup Bay,A,4,3.2,unknown,,,
2024,6/13/2024,Vessup Bay,A,5,3.0,unknown,,,
2024,6/13/2024,Vessup Bay,B,1,2.4,unknown,,,
2024,6/13/2024,Vessup Bay,B,2,4.1,unknown,,,
2024,6/13/2024,Vessup Bay,B,3,3.8,unknown,,,
2024,6/13/2024,Vessup Bay,B,4,1.7,unknown,,,
2024,6/13/2024,Vessup Bay,B,5,1.8,unknown,,,
2024,6/17/2024,Brewers Bay,A,1,4.5,unknown,,LARA,Alive
2024,6/17/2024,Brewers Bay,A,2,6.6,unknown,252,LARA,Alive
2024,6/17/2024,Brewers Bay,A,3,5.6,unknown,120,LARA,Alive
2024,6/17/2024,Brewers Bay,A,4,8.7,unknown,252,LARA,Alive
2024,6/17/2024,Brewers Bay,A,5,8.1,unknown,160,LARA,
2024,6/17/2024,Brewers Bay,B,1,7.9,unknown,257,LARA,
2024,6/17/2024,Brewers Bay,B,2,10.7,unknown,174,LARA,
2024,6/17/2024,Brewers Bay,B,3,8.2,unknown,287,LARA,
2024,6/17/2024,Brewers Bay,B,4,7.3,unknown,229,LARA,
2024,6/17/2024,Brewers Bay,B,5,9.5,unknown,237,LARA,
2024,6/17/2024,Brewers Bay,C,1,6.7,unknown,153,LARA,
2024,6/17/2024,Brewers Bay,C,2,8.1,unknown,228,LARA,
2024,6/17/2024,Brewers Bay,C,3,7.6,unknown,279,RHMA,
2024,6/17/2024,Brewers Bay,C,4,4.9,unknown,,,
2024,6/17/2024,Brewers Bay,C,5,5.8,unknown,,,
2024,6/18/2024,STEER Basin,A,1,2.0,unknown,,,
2024,6/18/2024,STEER Basin,A,2,2.9,unknown,,,
2024,6/18/2024,STEER Basin,A,3,3.1,unknown,,,
2024,6/18/2024,STEER Basin,C,1,1.4,unknown,,,
2024,6/18/2024,STEER Basin,C,2,1.1,unknown,,,
2024,6/18/2024,STEER Basin,C,3,0.9,unknown,,,
2024,6/18/2024,STEER Basin,C,4,0.8,unknown,,,
2024,6/18/2024,STEER Basin,C,5,1.3,unknown,,,
2024,7/5/2024,STEER Fringe,A,1,3.0,unknown,R2070,RHMA,
2024,7/5/2024,STEER Fringe,A,2,2.1,unknown,R2061,RHMA,
