SY,Date,Site,Plot,Quadrat,Species,Height_cm,Height_m,DBH_cm,Mortality,Notes
2022,10/29/2021,Princess Bay,C,West,RHMA,108.5,1.085,2.94,alive,some herb on leaves
2022,12/3/2021,Reef Bay,A,East,LARA,406,4.060,1.65,alive,
2022,12/3/2021,Reef Bay,A,South,LARA,158,1.580,0.4,alive,dead at top and bottom 
2022,12/3/2021,Reef Bay,A,South,LARA,278,2.780,0.6,alive,leggy branches
2022,12/3/2021,Reef Bay,A,South,LARA,256,2.560,0.7,alive,leggy branches
2022,12/3/2021,Reef Bay,A,South,LARA,328,3.280,0.9,alive,leggy branches
2022,12/3/2021,Reef Bay,A,South,LARA,218,2.180,2.3,alive,
2022,12/3/2021,Reef Bay,A,South,LARA,405,4.050,2.1,alive,
2022,12/3/2021,Reef Bay,A,South,LARA,315,3.150,0.8,alive,leggy branches
2022,12/3/2021,Reef Bay,A,South,LARA,171,1.710,0.45,alive,leggy branches
2022,12/3/2021,Reef Bay,A,South,LARA,340,3.400,1.1,alive,leggy branches
2022,12/3/2021,Reef Bay,A,South,LARA,290,2.900,1.15,alive,leggy branches
2022,12/3/2021,Reef Bay,A,South,LARA,440,4.400,1.95,alive,"leggy, 2 of 3 branches wood"
2022,12/3/2021,Reef Bay,A,South,LARA,318,3.180,2,alive,half of braches dead
2022,12/3/2021,Reef Bay,A,South,LARA,325,3.250,1.5,alive,
2022,12/3/2021,Reef Bay,A,South,LARA,113,1.130,1,alive,
2022,12/3/2021,Reef Bay,A,West,LARA,345,3.450,2.14,alive,damaged but alive
2022,12/3/2021,Reef Bay,A,West,LARA,365,3.650,1.55,alive,leggy branches
2022,12/3/2021,Reef Bay,A,West,LARA,460,4.600,2.35,alive,leggy branches
2022,12/3/2021,Reef Bay,A,West,LARA,206,2.060,1.52,alive,leggy branches
2022,12/3/2021,Reef Bay,A,West,LARA,315,3.150,1.65,alive,leggy branches
2022,12/3/2021,Reef Bay,B,East,LARA,135,1.350,0.14,alive,
2022,12/3/2021,Reef Bay,B,East,LARA,150.3,1.503,0.11,alive,
2022,12/3/2021,Reef Bay,B,West,AVGE,139,1.390,3,alive,Herbivory
2022,12/3/2021,Reef Bay,B,West,AVGE,131,1.310,1.75,alive,
2022,12/3/2021,Reef Bay,B,West,AVGE,121,1.210,2.4,alive,
2022,12/3/2021,Reef Bay,B,West,AVGE,175,1.750,1.8,alive,
2022,12/3/2021,Reef Bay,B,West,AVGE,156,1.560,0.8,alive,
2022,12/3/2021,Reef Bay,B,West,AVGE,148,1.480,1.2,alive,
2022,12/3/2021,Reef Bay,B,West,AVGE,156,1.560,0.6,alive,
2022,12/3/2021,Reef Bay,B,West,AVGE,146,1.460,0.3,alive,
2022,11/18/2021,Salt River,A,South,AVGE,77,0.770,0.75,alive,
2022,11/18/2021,Salt River,A,South,AVGE,97,0.970,1,alive,
2022,11/18/2021,Salt River,A,South,LARA,106,1.060,1.35,alive,
2022,11/18/2021,Salt River,A,South,LARA,285,2.850,1.15,alive,
2022,11/18/2021,Salt River,A,South,LARA,270,2.700,1.28,alive,
2022,11/18/2021,Salt River,A,South,LARA,210,2.100,1.25,alive,
2022,11/18/2021,Salt River,A,South,LARA,215,2.150,1.15,alive,
2022,11/18/2021,Salt River,A,South,LARA,186,1.860,0.65,alive,
2022,11/18/2021,Salt River,A,South,LARA,54,0.540,0.55,alive,
2022,11/18/2021,Salt River,A,South,LARA,54,0.540,1.62,alive,
2022,11/18/2021,Salt River,A,South,LARA,74,0.740,0.76,alive,
2022,11/18/2021,Salt River,A,South,LARA,74.5,0.745,1.25,alive,
2022,11/18/2021,Salt River,A,South,LARA,205,2.050,1.3,alive,
2022,11/18/2021,Salt River,A,South,LARA,305,3.050,2.24,alive,
2022,11/18/2021,Salt River,A,South,LARA,112,1.120,0.88,alive,
2022,11/18/2021,Salt River,A,South,LARA,188,1.880,0.51,alive,
2022,11/18/2021,Salt River,A,South,LARA,103,1.030,0.52,alive,
2022,11/18/2021,Salt River,A,South,LARA,88,0.880,0.37,alive,
2022,11/18/2021,Salt River,A,South,LARA,97,0.970,0.4,alive,
2022,11/18/2021,Salt River,A,South,LARA,108,1.080,0.54,alive,
2022,11/18/2021,Salt River,A,South,LARA,800,8.000,0.65,alive,
2022,11/18/2021,Salt River,A,South,LARA,820,8.200,0.79,alive,
2022,11/18/2021,Salt River,A,South,LARA,101,1.010,0.59,alive,
2022,11/18/2021,Salt River,A,South,LARA,172,1.720,0.83,alive,
2022,11/18/2021,Salt River,A,South,LARA,70,0.700,0.62,alive,
2022,11/18/2021,Salt River,A,South,LARA,198,1.980,1.15,alive,
2022,11/18/2021,Salt River,A,South,LARA,65,0.650,0.61,alive,
2022,11/18/2021,Salt River,A,South,LARA,105,1.050,1.58,alive,
2022,11/18/2021,Salt River,A,South,LARA,128,1.280,1.2,alive,
2022,11/18/2021,Salt River,A,South,LARA,150,1.500,1.2,alive,
2022,11/18/2021,Salt River,A,South,LARA,216,2.160,1.25,alive,
2022,11/18/2021,Salt River,A,South,LARA,318,3.180,2.15,alive,
2022,11/18/2021,Salt River,A,South,LARA,158,1.580,0.88,alive,
2022,11/18/2021,Salt River,A,South,LARA,195,1.950,0.55,alive,
2022,11/18/2021,Salt River,A,South,LARA,123,1.230,0.7,alive,
2022,11/18/2021,Salt River,A,South,LARA,129,1.290,0.59,alive,
2022,11/18/2021,Salt River,A,South,LARA,136,1.360,1.31,alive,
2022,11/18/2021,Salt River,A,South,LARA,107,1.070,0.58,alive,
2022,11/18/2021,Salt River,A,South,LARA,155,1.550,0.62,alive,
2022,11/18/2021,Salt River,A,South,RHMA,51.5,0.515,0.7,alive,
2022,11/18/2021,Salt River,C,North,RHMA,51,0.510,1.1,alive,
2022,11/18/2021,Salt River,C,North,RHMA,55,0.550,1.2,alive,
2022,11/18/2021,Salt River,C,South,RHMA,185,1.850,1.1,alive,
2022,11/18/2021,Salt River,C,South,RHMA,300,3.000,1.8,alive,
2022,11/16/2021,Southgate,A,North,AVGE,55.5,0.555,0.71,alive,herbiory (insect)
2022,11/16/2021,Southgate,B,North,LARA,112,1.120,0.71,alive,herbiory (insect)
2022,11/16/2021,Southgate,B,North,LARA,235,2.350,1.15,alive,mostly dead
2022,11/16/2021,Southgate,B,North,LARA,164,1.640,0.46,alive,alive but lost most leaves
2022,11/16/2021,Southgate,B,North,LARA,127,1.270,2.15,alive,alive @ base but dead higher up
2022,11/16/2021,Southgate,C,East,LARA,108,1.080,1.4,alive,
2022,11/16/2021,Southgate,C,East,LARA,80,0.800,0.9,alive,
2022,11/16/2021,Southgate,C,South,LARA,75,0.750,0.8,alive,
2022,11/16/2021,Southgate,C,South,LARA,92.5,0.925,1.2,alive,
2022,11/16/2021,Southgate,C,South,LARA,108,1.080,1,alive,
2022,11/16/2021,Southgate,C,South,LARA,71,0.710,0.7,alive,
2022,11/16/2021,Southgate,C,South,LARA,240,2.400,1.1,alive,
2022,11/16/2021,Southgate,C,South,LARA,330,3.300,1.9,alive,
