Island,Site,Plot,SY,Date_Survey,Pore_water,Inside_plot,Survey_start,Survey_end,Personnel,Water_depth,Temp,DO_percent,DO_mg_L,Salinity_ppt,SPC,TDS,pH,Syringe_used,Notes,water_depth_below_zero,Salinity_ppt_above_70ppt,TDS_above_70ppt
St John,Francis Bay,C,2022,10/29/2021,No,No,12:40,NA,"HAS, AND, LU, LP, KWG, VB",5.5,30.1,36.7,2.09,50.39,73333,47666,NA,No,Well going to be outside of plot in a channel of the salt pond,,,
St John,Francis Bay,C,2022,10/29/2021,No,No,12:40,NA,"HAS, AND, LU, LP, KWG, VB",3.7,29.5,41.1,2.36,50.44,73366,47690,NA,Yes,Well going to be outside of plot in a channel of the salt pond,,,
St John,Francis Bay,C,2022,10/29/2021,No,No,12:40,NA,"HAS, AND, LU, LP, KWG, VB",4.1,30.4,29.6,1.94,50.52,73504,47781,NA,No,Well going to be outside of plot in a channel of the salt pond,,,
St Croix,Great Pond,A,2022,11/15/2021,N,No,10:26,NA,"KWG, HS, AND, AH",5,32.4,97.2,5.09,61,86628,56317,NA,N,COER on way in,,,
St Croix,Great Pond,A,2022,11/15/2021,N,No,10:26,NA,"KWG, HS, AND, AH",8,31.6,95.8,5.06,61.19,86865,56523,NA,N,COER on way in,,,
St Croix,Great Pond,A,2022,11/15/2021,N,No,10:26,NA,"KWG, HS, AND, AH",9.5,32.2,123.2,6.48,61.4,87000,56578,NA,N,COER on way in,,,
St Croix,Great Pond,B,2022,11/15/2021,N,No,12:10,NA,"KWG, HS, AND, AH",14.5,35.6,118.1,6.91,30.81,47667,31201,NA,N,,,,
St Croix,Great Pond,B,2022,11/15/2021,N,No,12:10,NA,"KWG, HS, AND, AH",5.5,35.3,216.7,10.39,71.38,99112,64440,NA,N,,,,
St Croix,Great Pond,B,2022,11/15/2021,N,No,12:10,NA,"KWG, HS, AND, AH",7.5,34.6,175.6,8.63,70.7,98098,63885,NA,N,,,,
St Croix,Great Pond,C,2022,11/15/2021,N,No,13:36,NA,"KWG, HS, AND, AH",5.8,36.3,227.4,9.94,86.85,116624,75826,NA,N,Batis on mudflat,,,
St Croix,Great Pond,C,2022,11/15/2021,N,No,13:36,NA,"KWG, HS, AND, AH",3,36.6,113.6,6.24,40.35,60613,39493,NA,N,Batis on mudflat,,,
St Croix,Great Pond,C,2022,11/15/2021,N,No,13:36,NA,"KWG, HS, AND, AH",5,37.5,237.4,9.83,91.61,122058,79303,NA,N,Batis on mudflat,,,
St Croix,Krause Lagoon,A,2022,11/17/2021,No,yes,10:05,NA,"KWG, HS, AND, AH",6.5,26.7,20.2,1.33,34.28,51944,33733,NA,No,Sargassum at opening of site and within plot,,,
St Croix,Krause Lagoon,A,2022,11/17/2021,No,yes,10:05,NA,"KWG, HS, AND, AH",23,26.7,33.6,2.22,33.75,51434,33979,NA,No,Sargassum at opening of site and within plot,,,
St Croix,Krause Lagoon,A,2022,11/17/2021,No,yes,10:05,NA,"KWG, HS, AND, AH",28,27.2,50.9,3.27,34.68,52687,34255,NA,No,Sargassum at opening of site and within plot,,,
St Croix,Krause Lagoon,B,2022,11/17/2021,No,yes,13:45,NA,"KWG, HS, AND, AH",30,27.5,60.9,4,35.59,43218,16613,NA,No,"10 out of 10, nice plot, would sample again, standing water throughout plot",,,
St Croix,Krause Lagoon,B,2022,11/17/2021,No,yes,13:45,NA,"KWG, HS, AND, AH",30,27.2,50.2,3.23,35,53729,34620,NA,No,"10 out of 10, nice plot, would sample again, standing water throughout plot",,,
St Croix,Krause Lagoon,B,2022,11/17/2021,No,yes,13:45,NA,"KWG, HS, AND, AH",29,27.5,58.3,3.75,34.97,53098,35421,NA,No,"10 out of 10, nice plot, would sample again, standing water throughout plot",,,
St Croix,Krause Lagoon,C,2022,11/17/2021,No,yes,16:40,NA,"KWG, HS, AND, AH",29,28.1,53.4,3.38,35.72,54100,35191,NA,No,Standing water throughout plot,,,
St Croix,Krause Lagoon,C,2022,11/17/2021,No,yes,16:40,NA,"KWG, HS, AND, AH",19,27.1,42.29,2.69,33.73,54222,35231,NA,No,Standing water throughout plot,,,
St Croix,Krause Lagoon,C,2022,11/17/2021,No,yes,16:40,NA,"KWG, HS, AND, AH",29,28,55,3.37,35.83,54136,35246,NA,No,Standing water throughout plot,,,
St John,Lameshur Bay,A,2022,10/26/2021,No,No,11:35,NA,"KWG, AND, AH, KH, LP",16.1,31.7,121.2,7.45,34.31,52259,34029,NA,No,halophila,,,
St John,Lameshur Bay,A,2022,10/26/2021,No,No,11:35,NA,"KWG, AND, AH, KH, LP",14.5,32.5,129.7,7.82,34.67,52950,34415,NA,No,halophila,,,
St John,Lameshur Bay,A,2022,10/26/2021,No,No,11:35,NA,"KWG, AND, AH, KH, LP",9.6,32.8,124.5,7.47,34.9,53128,34585,NA,No,halophila,,,
St John,Lameshur Bay,B,2022,10/26/2021,No,No,10:20,NA,"KWG, AND, AH, KH, LP",12,30.9,102.6,6.25,34.32,52368,34064,NA,No,halophila,,,
St John,Lameshur Bay,B,2022,10/26/2021,No,No,10:20,NA,"KWG, AND, AH, KH, LP",4.8,31.3,122.6,7.54,34.51,52680,34237,NA,No,halophila,,,
St John,Lameshur Bay,B,2022,10/26/2021,No,No,10:20,NA,"KWG, AND, AH, KH, LP",7,30.6,110.9,6.89,34.91,53172,34564,NA,No,halophila,,,
St John,Lameshur Bay,C,2022,10/26/2021,No,Yes,13:00,NA,"KWG, AND, AH, KH, LP",7.5,32.5,145.2,8.73,34.7,52924,34405,NA,No,halophila,,,
St John,Lameshur Bay,C,2022,10/26/2021,No,Yes,13:00,NA,"KWG, AND, AH, KH, LP",14.7,32.9,137.8,8.76,34.71,53001,34444,NA,No,halophila,,,
St John,Lameshur Bay,C,2022,10/26/2021,No,Yes,13:00,NA,"KWG, AND, AH, KH, LP",13,31.7,97.2,5.91,34.92,52244,34602,NA,No,halophila,,,
St Thomas,Magens Bay,A,2022,10/22/2021,No,Yes,9:40,NA,"HAS, LU, LP, AND, KWG, AJH",18.6,25.5,6.6,0.45,4.45,80951,4139,NA,No,Twin propagules in site,,,
St Thomas,Magens Bay,A,2022,10/22/2021,No,Yes,9:40,NA,"HAS, LU, LP, AND, KWG, AJH",12.8,25.3,15.3,1.18,4.43,8030,5195,NA,No,Twin propagules in site,,,
St Thomas,Magens Bay,A,2022,10/22/2021,No,Yes,9:40,NA,"HAS, LU, LP, AND, KWG, AJH",24.7,26.1,10.8,0.77,5.76,10255,6602,NA,No,Twin propagules in site,,,
St Thomas,Magens Bay,B,2022,10/22/2021,No,No,14:22,NA,"HAS, LU, LP, AND, KWG, AJH",23.1,26.9,11.5,0.9,4.84,9713,5663,NA,No,22 m from hiking path. GPS MB-B entrance is closest way in,,,
St Thomas,Magens Bay,B,2022,10/22/2021,No,No,14:22,NA,"HAS, LU, LP, AND, KWG, AJH",20,26.4,5.4,0.41,4.87,8765,5697,NA,No,22 m from hiking path. GPS MB-B entrance is closest way in,,,
St Thomas,Magens Bay,B,2022,10/22/2021,No,No,14:22,NA,"HAS, LU, LP, AND, KWG, AJH",24.9,27.5,9.2,0.67,5.24,9370,6095,NA,No,22 m from hiking path. GPS MB-B entrance is closest way in,,,
St Thomas,Magens Bay,C,2022,11/30/2021,No,no,9:26,NA,"HAS, LU, LP, AND, KWG, AJH",20.5,26.3,36,2.57,3.76,6643,4384,NA,No,YSI done outside of plot at channel edge because there was no standing water in the plot. LARA seedlings at the channel edge. At 13.5 m transitions from red to white,,,
St Thomas,Magens Bay,C,2022,11/30/2021,No,no,9:26,NA,"HAS, LU, LP, AND, KWG, AJH",10,26.6,37.1,2.94,7.85,13852,8432,NA,No,YSI done outside of plot at channel edge because there was no standing water in the plot. LARA seedlings at the channel edge. At 13.5 m transitions from red to white,,,
St Thomas,Magens Bay,C,2022,11/30/2021,No,no,9:26,NA,"HAS, LU, LP, AND, KWG, AJH",22,25.8,43.9,3.01,7.87,13599,8864,NA,No,YSI done outside of plot at channel edge because there was no standing water in the plot. LARA seedlings at the channel edge. At 13.5 m transitions from red to white,,,
St Thomas,Mandahl Bay,A,2022,10/1/2021,No,yes,9:13,NA,"LU, LP, HAS, KH",1.4,28.1,32.2,2.56,0.33,545,505,NA,Yes,THPO in plot,,,
St Thomas,Mandahl Bay,A,2022,10/1/2021,No,yes,9:13,NA,"LU, LP, HAS, KH",7,29.7,49.1,3.1,35.28,53635,34873,NA,Yes,THPO in plot,,,
St Thomas,Mandahl Bay,A,2022,10/1/2021,No,yes,9:13,NA,"LU, LP, HAS, KH",6,29.5,48.6,3.03,36.29,54970,35736,NA,No,THPO in plot,,,
St Thomas,Mandahl Bay,B,2022,10/1/2021,No,yes,13:01,NA,"LU, LP, HAS, KH",7,31.2,75,5.5,0.23,450.7,305,NA,Yes,Sargassum in plot,,,
St Thomas,Mandahl Bay,B,2022,10/1/2021,No,yes,13:01,NA,"LU, LP, HAS, KH",33,31.7,91,5.48,36.3,55105,35817,NA,Yes,Sargassum in plot,,,
St Thomas,Mandahl Bay,B,2022,10/1/2021,No,yes,13:01,NA,"LU, LP, HAS, KH",11.6,30.8,60.6,3.68,36.39,55156,35852,NA,Yes,Sargassum in plot,,,
St Thomas,Mandahl Bay,C,2022,10/12/2021,No,yes,9:01,NA,"LU, LP, HAS, KH",8.5,28.3,51.9,3.31,36.4,55067,35799,NA,No,"Lots of LARA seedlings and saplings, RHMA saplings, old LARA with exposed roots, rusted out collapsed culvert, THPO in plot",,,
St Thomas,Mandahl Bay,C,2022,10/12/2021,No,yes,9:01,NA,"LU, LP, HAS, KH",6.3,28.4,58.3,3.7,36.44,55119,35827,NA,No,"Lots of LARA seedlings and saplings, RHMA saplings, old LARA with exposed roots, rusted out collapsed culvert, THPO in plot",,,
St Thomas,Mandahl Bay,C,2022,10/12/2021,No,yes,9:01,NA,"LU, LP, HAS, KH",4.3,28.4,59,3.74,36.42,55135,351818,NA,No,"Lots of LARA seedlings and saplings, RHMA saplings, old LARA with exposed roots, rusted out collapsed culvert, THPO in plot",,,
St John,Mary Creek,A,2022,4/5/2022,no,no,10:20,10:25,"KWG, AND, LU, LP, KH",11.9,33,172.5,7.78,87.39,116960,76028,NA,no,"samples from narrow salt pond NW of plot, fish kill",,,
St John,Mary Creek,A,2022,4/5/2022,no,no,10:20,10:25,"KWG, AND, LU, LP, KH",7,34,207.6,9.18,87.96,117656,76470,NA,no,"samples from narrow salt pond NW of plot, fish kill",,,
St John,Mary Creek,A,2022,4/5/2022,no,no,10:20,10:25,"KWG, AND, LU, LP, KH",7.9,32.8,163.2,7.48,85.84,115168,74897,NA,no,"samples from narrow salt pond NW of plot, fish kill",,,
St John,Mary Creek,B,2022,4/5/2022,no,no,9:15,9:20,"KWG, AND, LU, LP, KH",2.9,28.4,123.3,5.96,85.9,115119,74888,NA,no,"samples from narrow salt pond N of plot, fish kill",,,
St John,Mary Creek,B,2022,4/5/2022,no,no,9:15,9:20,"KWG, AND, LU, LP, KH",5,28.8,133,6.33,87.84,117242,76218,NA,no,"samples from narrow salt pond N of plot, fish kill",,,
St John,Mary Creek,B,2022,4/5/2022,no,no,9:15,9:20,"KWG, AND, LU, LP, KH",4.5,28.9,132.1,6.3,87.62,116981,76032,NA,no,"samples from narrow salt pond N of plot, fish kill",,,
St John,Mary Creek,C,2022,4/5/2022,no,no,11:00,11:24,"KWG, AND, LU, LP, KH",7,34.6,170.2,7.39,90,120040,78045,NA,no,"samples from narrow salt pond E of plot, fish kill",,,
St John,Mary Creek,C,2022,4/5/2022,no,no,11:00,11:24,"KWG, AND, LU, LP, KH",8.4,34.3,155.2,6.88,87.29,117075,76228,NA,no,"samples from narrow salt pond E of plot, fish kill",,,
St John,Mary Creek,C,2022,4/5/2022,no,no,11:00,11:24,"KWG, AND, LU, LP, KH",2.7,34.8,169.6,9.37,87.58,117037,76240,NA,no,"samples from narrow salt pond E of plot, fish kill",,,
St Thomas,Perseverance Bay,A,2022,9/23/2021,no,yes,10:10,NA,"KWG, KH, HAS",22,29.9,32.5,2,10.76,18325,11883,NA,No,,,,
St Thomas,Perseverance Bay,A,2022,9/23/2021,no,yes,10:10,NA,"KWG, KH, HAS",24.4,29,36.2,2.6,10.83,18338,11923,NA,No,,,,
St Thomas,Perseverance Bay,A,2022,9/23/2021,no,yes,10:10,NA,"KWG, KH, HAS",25,29.1,30.2,2.18,10.91,18526,12033,NA,No,,,,
St Thomas,Perseverance Bay,B,2022,9/23/2021,no,yes,13:40,NA,"KWG, KH, HAS",31,36.4,132.9,8.53,11.03,18890,12275,NA,No,,,,
St Thomas,Perseverance Bay,B,2022,9/23/2021,no,yes,13:40,NA,"KWG, KH, HAS",17.5,35.6,126.3,8.15,10.91,18859,12286,NA,No,,,,
St Thomas,Perseverance Bay,B,2022,9/23/2021,no,yes,13:40,NA,"KWG, KH, HAS",31,35.8,126.3,8.2,11.12,19119,12419,NA,No,,,,
St Thomas,Perseverance Bay,C,2022,9/23/2021,no,yes,15:13,NA,"KWG, KH, HAS",24,34.5,99.5,6.51,10.92,18627,12139,NA,No,,,,
St Thomas,Perseverance Bay,C,2022,9/23/2021,no,yes,15:13,NA,"KWG, KH, HAS",25.5,34.5,100.5,6.61,10.92,18698,12151,NA,No,,,,
St Thomas,Perseverance Bay,C,2022,9/23/2021,no,yes,15:13,NA,"KWG, KH, HAS",23,34.4,101.5,6.76,10.98,18769,12198,NA,No,,,,
St John,Princess Bay,A,2022,10/29/2021,No,Yes,10:02,NA,"AND, AJH, KWG, HAS, LU, JCC",5.5,28.3,45.9,2.92,35.74,54067,35154,NA,No,halophila and syringodium,,,
St John,Princess Bay,A,2022,10/29/2021,No,Yes,10:02,NA,"AND, AJH, KWG, HAS, LU, JCC",13,28.1,44.2,2.82,35.96,54479,35409,NA,No,halophila and syringodium,,,
St John,Princess Bay,A,2022,10/29/2021,No,Yes,10:02,NA,"AND, AJH, KWG, HAS, LU, JCC",10.5,29.2,49.6,3.11,36.02,54620,35531,NA,No,halophila and syringodium,,,
St John,Princess Bay,B,2022,10/25/2021,No,Yes,12:36,NA,"AND, AJH, KWG, HAS, LU, JCC",22,31.4,81.5,4.96,35.29,53731,34916,NA,No,halophila floating in site as well as sargassum,,,
St John,Princess Bay,B,2022,10/25/2021,No,Yes,12:36,NA,"AND, AJH, KWG, HAS, LU, JCC",17,32.1,76.6,4.66,35.35,53841,34998,NA,No,halophila floating in site as well as sargassum,,,
St John,Princess Bay,B,2022,10/25/2021,No,Yes,12:36,NA,"AND, AJH, KWG, HAS, LU, JCC",12,32.6,67.4,4.02,35.92,54641,35505,NA,No,halophila floating in site as well as sargassum,,,
St John,Princess Bay,C,2022,10/29/2021,Yes,Yes,11:21,NA,"AND, AJH, KWG, HAS, LU, JCC",14.9,29.7,65.7,4.08,35.38,53770,34950,NA,No,halophila floating in site as well as sargassum,,,
St John,Princess Bay,C,2022,10/29/2021,Yes,Yes,11:21,NA,"AND, AJH, KWG, HAS, LU, JCC",5.4,29.9,59.5,3.68,36.01,54613,35499,NA,No,halophila floating in site as well as sargassum,,,
St John,Princess Bay,C,2022,10/29/2021,Yes,Yes,11:21,NA,"AND, AJH, KWG, HAS, LU, JCC",1.8,30.9,75.3,4.6,36.02,54754,35577,NA,Yes,halophila floating in site as well as sargassum,,,
St John,Reef Bay,A,2022,12/3/2021,No,Yes,10:11,NA,"LU, KH, LP, AD",9,27,7,0.4,44.88,66150,43000,NA,No,,,,
St John,Reef Bay,A,2022,12/3/2021,No,Yes,10:11,NA,"LU, KH, LP, AD",12,27,13,0.78,46.38,68090,44260,NA,No,,,,
St John,Reef Bay,A,2022,12/3/2021,No,Yes,10:11,NA,"LU, KH, LP, AD",11,27,9,0.54,46.46,68197,44329,NA,No,,,,
St John,Reef Bay,B,2022,12/3/2021,No,Yes,9:06,NA,"LU, KH, LP, AD",13.1,24.5,34.3,1.98,47.68,69683,45270,NA,No,,,,
St John,Reef Bay,B,2022,12/3/2021,No,Yes,9:06,NA,"LU, KH, LP, AD",12.2,24.5,29.2,1.83,48.13,70201,45641,NA,No,,,,
St John,Reef Bay,B,2022,12/3/2021,No,Yes,9:06,NA,"LU, KH, LP, AD",16.8,24.6,32,1.94,48.23,70278,54699,NA,No,,,,
St John,Reef Bay,C,2022,12/8/2021,No,Yes,10:58,NA,"LU, KH, LP, AD",8,30.3,112.3,6.63,45.53,67611,43730,NA,No,,,,
St John,Reef Bay,C,2022,12/8/2021,No,Yes,10:58,NA,"LU, KH, LP, AD",35,30.1,104.8,6.13,46.2,68130,44040,NA,No,,,,
St John,Reef Bay,C,2022,12/8/2021,No,Yes,10:58,NA,"LU, KH, LP, AD",34,29.2,93,5.39,46.5,68506,44540,NA,No,,,,
St Croix,Salt River,A,2022,11/18/2022,N,Yes,8:57,NA,"KWG, HS, AND, AH",24,26.6,39.7,2.61,35.02,53129,34544,NA,N,"THPO in plot, RHMA fringe is growing on a 4ft clay berm",,,
St Croix,Salt River,A,2022,11/18/2022,N,Yes,8:57,NA,"KWG, HS, AND, AH",32,26.8,62.7,4.09,35.04,53122,34533,NA,N,"THPO in plot, RHMA fringe is growing on a 4ft clay berm",,,
St Croix,Salt River,A,2022,11/18/2022,N,Yes,8:57,NA,"KWG, HS, AND, AH",23,26.9,63.3,4.14,34.8,32842,34358,NA,N,"THPO in plot, LARA fringe is growing on a 4ft clay berm",,,
St Croix,Salt River,B,2022,11/18/2022,N,Yes,11:31,NA,"KWG, HS, AND, AH",27.2,27.3,78.8,5.08,34.99,53179,34578,NA,N,Marine debris tire,,,
St Croix,Salt River,B,2022,11/18/2022,N,Yes,11:31,NA,"KWG, HS, AND, AH",38.5,27.4,78.6,5.02,35.16,53313,34662,NA,N,Marine debris tire,,,
St Croix,Salt River,B,2022,11/18/2022,N,Yes,11:31,NA,"KWG, HS, AND, AH",35.8,26.8,83.6,5.34,35.1,53286,34637,NA,N,Marine debris tire,,,
St Croix,Salt River,C,2022,11/18/2022,N,Yes,14:38,NA,"KWG, HS, AND, AH",27.5,28,77.5,4.86,34.99,53164,34566,NA,N,COER on way in,,,
St Croix,Salt River,C,2022,11/18/2022,N,Yes,14:38,NA,"KWG, HS, AND, AH",18.1,27.8,72.3,4.63,35.1,53286,34637,NA,N,COER on way in,,,
St Croix,Salt River,C,2022,11/18/2022,N,Yes,14:38,NA,"KWG, HS, AND, AH",28.2,27.8,73.2,4.66,35.06,53261,34637,NA,N,COER on way in,,,
St Croix,Southgate,A,2022,11/16/2021,No,No,8:24,NA,"KWG, HS, AND, AH",2,26.1,107.7,7.59,25.07,39401,25609,NA,No,,,,
St Croix,Southgate,A,2022,11/16/2021,No,No,8:24,NA,"KWG, HS, AND, AH",2.5,25.9,111,7.84,26.34,41241,26877,NA,No,,,,
St Croix,Southgate,A,2022,11/16/2021,No,No,8:24,NA,"KWG, HS, AND, AH",3.5,25.8,108.9,6.27,61.79,87149,56655,NA,No,,,,
St Croix,Southgate,B,2022,11/16/2021,No,No,10:08,NA,"KWG, HS, AND, AH",7,28.7,165.3,10.35,39.19,58773,38211,NA,No,,,,
St Croix,Southgate,B,2022,11/16/2021,No,No,10:08,NA,"KWG, HS, AND, AH",8.5,28.1,197.6,12.47,39.59,59298,38546,NA,No,,,,
St Croix,Southgate,B,2022,11/16/2021,No,No,10:08,NA,"KWG, HS, AND, AH",7,29.1,236.8,14.66,39.79,59611,38748,NA,No,,,,
St Croix,Southgate,C,2022,11/16/2021,Yes,Yes,13:41,NA,"KWG, HS, AND, AH",1.5,31.4,75.5,5.55,0.09,217,136,NA,Yes,,,,
St Croix,Southgate,C,2022,11/16/2021,Yes,Yes,13:41,NA,"KWG, HS, AND, AH",7,34.7,230.1,12.58,45.68,67633,43943,NA,Yes,,,,
St Croix,Southgate,C,2022,11/16/2021,Yes,Yes,13:41,NA,"KWG, HS, AND, AH",3,34.7,110.9,6,47.75,70279,45678,NA,Yes,,,,
St Thomas,STEER Basin,A,2022,10/19/2021,No,yes,12:24,NA,"KWG, AND, KT, HL, LU, LP, KH",9.8,39.3,311.5,17.22,32.83,50689,33015,NA,Yes,Mostly dead mangroves,,,
St Thomas,STEER Basin,A,2022,10/19/2021,No,yes,12:24,NA,"KWG, AND, KT, HL, LU, LP, KH",19.4,39.3,320.9,17.69,32.91,50888,33091,NA,Yes,Mostly dead mangroves,,,
St Thomas,STEER Basin,A,2022,10/19/2021,No,yes,12:24,NA,"KWG, AND, KT, HL, LU, LP, KH",13.3,39.5,320.3,17.32,32.9,50922,33091,NA,Yes,Mostly dead mangroves,,,
St Thomas,STEER Basin,B,2022,2/22/2022,yes,no,11:53,12:07,"KWG, AND, KT, HL, LU, LP, KH",2.8,26.8,100,7.18,20.49,32851,21356,NA,yes,rained during sample,,,
St Thomas,STEER Basin,B,2022,2/22/2022,no,yes,12:53,13:07,"KWG, AND, KT, HL, LU, LP, KH",14.5,26.3,66.5,4.24,38.71,58101,37783,NA,no,rained during sample,,,
St Thomas,STEER Basin,B,2022,2/22/2022,no,yes,13:53,14:07,"KWG, AND, KT, HL, LU, LP, KH",21.5,26.3,67.1,4.31,38.76,58157,37826,NA,no,rained during sample,,,
St Thomas,STEER Basin,C,2022,2/22/2022,no,yes,13.47,13:54,"KWG, AND, KT, HL, LU, LP, KH",21.5,28,103.9,6.93,29.75,46050,29935,NA,no,,,,
St Thomas,STEER Basin,C,2022,2/22/2022,yes,yes,13.47,13:54,"KWG, AND, KT, HL, LU, LP, KH",10.4,29.4,65.5,4.23,30.3,46820,30434,NA,yes,,,,
St Thomas,STEER Basin,C,2022,2/22/2022,yes,yes,13.47,13:54,"KWG, AND, KT, HL, LU, LP, KH",11.6,27.6,108.9,7.29,31.09,47846,31116,NA,yes,,,,
St Thomas,STEER Fringe,A,2022,10/15/2021,No,yes,9:34,NA,"HAS, KH, LU, LP, KWG, KT, AND",9.5,29.2,101.6,6.55,31,47860,31075,NA,Yes,"Culerpa mat on ground, sargassum, dwarf forest so many trees below DBH, all RHMA with lots of Herbivory",,,
St Thomas,STEER Fringe,A,2022,10/15/2021,No,yes,9:34,NA,"HAS, KH, LU, LP, KWG, KT, AND",6.5,28.6,107.5,6.98,31.74,48750,31738,NA,Yes,"Culerpa mat on ground, sargassum, dwarf forest so many trees below DBH, all RHMA with lots of Herbivory",,,
St Thomas,STEER Fringe,A,2022,10/15/2021,No,yes,9:34,NA,"HAS, KH, LU, LP, KWG, KT, AND",10,28.7,105.8,6.85,31.86,48935,31808,NA,Yes,"Culerpa mat on ground, sargassum, dwarf forest so many trees below DBH, all RHMA with lots of Herbivory",,,
